Company,Headquarters,Served countries (besides the headquarters),Map,Number of locations,Number of employees
7-Eleven,JapanUnited States,"Australia, Canada, China, Cambodia, Denmark, Hong Kong, Israel, Macau, Malaysia, Mexico, Norway, Philippines, Singapore, South Korea, Sweden, Taiwan, Thailand",,85000,"170,000"
Aeon,Japan,"Australia, Cambodia, China, Hong Kong, India, Indonesia, Laos, Malaysia, Mongolia, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam",,20008,"560,000+"
Ahold Delhaize,Netherlands,"Belgium (as Albert Heijn and Delhaize), Czech Republic (as Albert), Greece (as Alfa-Beta Vassilopoulos), Indonesia (as Super Indo), Netherlands (as Albert Heijn, Gall&Gall and Etos), Luxembourg (as Delhaize), Portugal (as Pingo Doce), Romania (as Mega Image),  Serbia (as Maxi), United States (as Food Lion, Giant, Hannaford, Stop & Shop)",,7659,"375,000"
Aldi,Germany (Süd and Nord),"Australia (Süd), Austria (Süd as Hofer), China (Süd), Hungary (Süd), Ireland (Süd), Italy (Süd), Slovenia (Süd as Hofer), Switzerland (Süd), United Kingdom (Süd), United States (Süd), Belgium (Nord), France (Nord), Luxembourg (Nord), Netherlands (Nord), Poland (Nord), Portugal (Nord), Spain (Nord), United States (Nord branded as Trader Joe's)",,12832 (13419 if including Trader Joe's),"274,172"
Edeka,Germany,Denmark,,13646,"381,000"
Extra,Germany,,,,"9,700"
Minimal,Germany,Poland,,1500,
Auchan,France,"Spain, Luxembourg, Italy, Portugal, Poland, Romania, Hungary, Russia, Ukraine, Taiwan, Senegal, Côte d’Ivoire, Mauritania, Tadjikistan, Tunisia",,2101,"160,407"
Big C,Thailand,"Laos, Vietnam",,1234,"27,000"
BİM,Turkey,"Morocco, Egypt",,13525,"37,439"
Carrefour,France,"Algeria, Argentina, Armenia, Bahrain, Belgium, Brazil, Cameroon, China, Cyprus, Dominican Republic, Egypt, Georgia, Indonesia, Irak, Israel, Italy, Ivory Coast, Jordan, Kenya, Kuwait, Lebanon, Madagascar, Mauritius, Morocco, Oman, Pakistan (""Hyper Star""), Poland, Qatar, Romania, Saudi Arabia, Senegal, Spain, Taiwan, The Bahamas, Tunisia, Turkey, Uganda, United Arab Emirates",,13894,"319,565"
Champion,France,"Belgium, Spain, Poland, Greece, Turkey, Argentina, Brazil",,1000,"45,000"
Casino,France,"Argentina (Grupo Éxito), Brazil (GPA), Cameroon (Bao), Colombia (Grupo Éxito), Uruguay (Grupo Éxito)",,10800,"196,307"
CBA,Hungary,"Bulgaria, Croatia, Czech Republic, Lithuania, Poland, Romania, Serbia, Slovakia",,5203,"30,000"
Cencosud,Chile,"Argentina, Brazil, Colombia, Peru",,1471,"126,530"
Chedraui,Mexico,United States,,262,"38,000"
Conad,Italy,"Albania, China, Kosovo, Malta, San Marino",,3410,"32,000"
Co-op Atlantic,Atlantic Canada,,,,
Coop amba,Denmark,,,1200,"36,000+"
Coop Hungary,Hungary,,,5000,"32,000"
Coop Italia,Italy,San Marino,,1444,"56,682"
Coop Nederlands,Netherlands,,,242,
Coop Norge,Norway,,,,"2,564"
Coop (Puerto Rico),Puerto Rico,,,,
Coop (Sweden),Sweden,,,800 or 850,
Co-op Food,United Kingdom,,,2564,
Coop,Switzerland,Liechtenstein,,2478,"90,307"
Cora,France,"Belgium, Luxembourg, Romania",,80,
Costco,United States,"Australia, Canada, Japan, Mexico, South Korea, Spain, Sweden, Taiwan, United Kingdom, France, China, Puerto Rico, New Zealand, Iceland",,861,"316,000"
Crai,Italy,"Albania, Malta, San Marino",,3444,"18,000"
Denner,Switzerland,Liechtenstein,,860,
Dunnes,Ireland,"Spain, United Kingdom, Portugal",,138,"15,000"
Leclerc,France,"Andorra, Poland, Portugal, Réunion, Slovenia, Spain",,1494,"133,000"
Géant Casino,France,"Martinique, Djibouti, Uruguay, Qatar, Tunisia, Guadeloupe, Guyane, Wallis-et-Futuna, Libya",,281,"133,000"
Dominick's,United States,,,116,"18,000"
e-mart,South Korea,"Mongolia, Vietnam",,183,
Eataly,Italy,"Brazil, Canada, France, Germany, Japan, Kuwait, Qatar, Russia, Saudi Arabia, South Korea, Sweden, Turkey, United Arab Emirates, United Kingdom, United States",,45,
EuroSpin,Italy,"Slovenia, Croatia, Malta",,1143,"7,000"
Famila,Germany,Italy (franchisee of Selex),,235,"6,600"
FamilyMart,Japan,"China, Indonesia, Malaysia, Philippines, Taiwan, Thailand, Vietnam",,24941,"16,601"
Four Square supermarkets,New Zealand,Australia,,224,
H-E-B,United States,Mexico,,420,"100,000"
Intermarché,France,"Belgium, Portugal, Poland, Monaco",,,"100,000"
Isetan,Japan,"China, Malaysia, Singapore, Taiwan, Thailand",,28,
Ito-Yokado,Japan,China,,178,
Jeronimo Martins,Portugal,"Colombia branded as ARA, Poland branded as Biedronka",,4900,"123,458"
